Sample,deoxyribose M0 Results,deoxyribose M+1 Results,deoxyribose M+2 Results,deoxyribose M+3 Results,deoxyribose M+4 Results,deoxyribose M+5 Results,deoxyribose M+6 Results,deoxyribose M+7 Results,ribose M+0 Results,ribose M+1 Results,ribose M+2 Results,ribose M+3 Results,ribose M+4 Results,ribose M+5 Results,ribose M+6 Results,ribose M+7 Results
Name,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area,Area
D2O t01 3,32999.96231,12414.62922,5707.094309,1405.221659,338.9408511,61.09956563,14.03242149,4.80223629,1392.282598,644.0735621,333.876758,101.2736345,28.08214583,7.716015196,3.991,0
D2O t02 1,29849.64576,11184.91726,5185.173847,1276.454517,302.966059,53.76529958,12.95328335,5.155,1347.236317,633.2517682,337.9930186,102.7934707,30.17106885,6.828642271,0,0
D2O t02 2,24805.67918,9285.191576,4272.73292,1061.408259,255.4229426,44.2609027,10.44100172,3.536415777,854.4791589,401.0784728,215.7903369,65.727,18.10462196,4.562767859,0,
D2O t02 3,22124.1973,8259.062668,3816.400267,938.9253291,227.167,40.29084316,9.367610396,3.05847106,901.3033905,417.6050413,221.9211955,66.11223263,18.52342151,4.841082242,0,0
D2O t04 1,24718.6913,9281.290136,4314.26038,1054.627567,252.8384378,42.08666291,11.3328376,2.7255,1048.001971,498.6928852,262.1969453,80.46785221,25.08044789,5.412371602,0,0
D2O t04 2,13128.00439,4907.790482,2270.903976,553.1649312,132.7406344,23.27553962,7.049453463,0,516.7882424,245.9390231,127.871968,39.7706966,10.78263259,0,0,0
D2O t04 3,6356.503044,2366.888321,1101.229044,267.6046329,66.92853399,12.4651822,3.8925,0,440.6794909,209.8804868,114.2573713,34.49474903,10.71403816,0,0,0
D2O t08 1,23925.66067,9026.606667,4203.492973,1049.257079,252.729,44.62791179,10.77279112,3.092721929,1737.306588,889.9101268,471.2611198,160.18151,47.80864201,12.3539545,2.53957641,0
D2O t08 2,10924.91598,4075.055875,1891.841113,469.534901,113.2790848,21.48414455,5.911100405,2.730314925,903.6217246,460.7271737,249.6561221,81.8515,25.17613837,7.10178966,0,0
D2O t08 3,8175.089904,3055.891378,1429.476539,350.1307399,87.04099444,16.45794956,4.866,0,693.5560635,347.5252408,184.5673586,60.72797814,19.58221974,7.203,0,0
D2O t24 1,29658.02335,12621.10294,5940.854985,1633.033775,416.8895516,83.76309798,19.68012384,5.217148384,1620.208751,975.7651128,529.5444826,190.3281639,59.52263154,18.7335,0,0
D2O t24 2,24561.94617,10528.75799,4971.314237,1363.771825,351.297188,68.95048356,15.77247589,4.922345276,1800.652184,1100.607957,600.4530577,222.7978311,66.46448068,18.17057979,3.305388938,0
D2O t24 3,11215.814,4772.655576,2266.221488,625.1942043,157.3754348,32.36739587,9.054285055,2.755886691,765.9127403,466.356074,255.5544428,96.93065596,30.0705,8.374556586,1.698631685,0
